list,trials,item,condition,,,D,C,F,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,noun,sentence_1,sentence_2,context
3,46,33,fbrcf,br,cf,NA,BR-CE,BR-CE,NA,NA,NA,NA,NA,NA,brown,brown,black,black,brown,black,circle,star,circle,circle,star,star,Aufkleber,Brauchst du den braunen runden Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
3,47,33,fbrdc,br,dc,BR-A,BR-CE,NA,10,10,1,1,9,1,brown,black,brown,brown,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen Aufkleber?,Welche Frage passt besser?
3,48,33,fbrdf,br,df,BR-A,NA,BR-CE,10,10,1,1,9,1,NA,NA,NA,NA,NA,NA,circle,star,circle,circle,star,star,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
3,49,33,fercf,er,cf,NA,R-CE,NR-CE,NA,NA,NA,NA,NA,NA,brown,black,black,black,black,black,circle,circle,circle,circle,circle,star,Aufkleber,Brauchst du den braunen runden Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
3,50,33,ferdc,er,dc,R-A,NR-CE,NA,9,2,2,3,3,3,brown,brown,brown,brown,brown,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen Aufkleber?,Welche Frage passt besser?
3,51,33,ferdf,er,df,R-A,NA,NR-CE,9,2,2,3,3,3,NA,NA,NA,NA,NA,NA,circle,circle,circle,circle,circle,star,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
3,52,33,fzrcf,zr,cf,NA,NR-CE,R-CE,NA,NA,NA,NA,NA,NA,brown,brown,brown,brown,brown,black,circle,star,star,star,star,star,Aufkleber,Brauchst du den braunen runden Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
3,53,33,fzrdc,zr,dc,NR-A,R-CE,NA,9,9,10,10,9,3,brown,black,black,black,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen Aufkleber?,Welche Frage passt besser?
3,54,33,fzrdf,zr,df,NR-A,NA,R-CE,9,9,10,10,9,3,NA,NA,NA,NA,NA,NA,circle,star,star,star,star,star,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
3,55,34,fbrdc,br,dc,BR-A,BR-AB,NA,9,9,2,2,10,3,blue,orange,blue,blue,orange,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den blauen Aufkleber?,Welche Frage passt besser?
3,56,34,fbrdf,br,df,BR-B,NA,BR-AB,9,10,3,1,10,1,NA,NA,NA,NA,NA,NA,triangle,diamond,triangle,triangle,diamond,diamond,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
3,57,34,fbrcf,br,cf,NA,BR-BA,BR-BA,NA,NA,NA,NA,NA,NA,orange,orange,blue,blue,orange,blue,diamond,triangle,diamond,diamond,triangle,triangle,Aufkleber,Brauchst du den orangen Aufkleber?,Brauchst du den diamantförmigen Aufkleber?,Welche Frage passt besser?
3,58,34,fbrdf,br,df,BR-A,BR-AC,NA,10,9,1,3,10,2,blue,brown,blue,blue,brown,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den blauen Aufkleber?,Welche Frage passt besser?
3,59,34,fbrcf,br,cf,BR-B,NA,BR-AC,10,9,1,3,9,1,NA,NA,NA,NA,NA,NA,triangle,circle,triangle,triangle,circle,circle,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
3,60,34,fbrdc,br,dc,NA,BR-CA,BR-CA,NA,NA,NA,NA,NA,NA,brown,brown,blue,blue,brown,blue,circle,triangle,circle,circle,triangle,triangle,Aufkleber,Brauchst du den braunen Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
3,61,34,fbrdf,br,df,BR-A,BR-AD,NA,10,10,3,3,10,2,blue,grey,blue,blue,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den blauen Aufkleber?,Welche Frage passt besser?
3,62,34,fbrcf,br,cf,BR-A,NA,BR-AD,9,9,3,3,9,3,NA,NA,NA,NA,NA,NA,triangle,quadrat,triangle,triangle,quadrat,quadrat,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
3,63,34,fbrdc,br,dc,NA,BR-DA,BR-DA,NA,NA,NA,NA,NA,NA,grey,grey,blue,blue,grey,blue,quadrat,triangle,quadrat,quadrat,triangle,triangle,Aufkleber,Brauchst du den grauen Aufkleber?,Brauchst du den quadratischen Aufkleber?,Welche Frage passt besser?
3,64,35,fbrdf,br,df,BR-A,BR-AE,NA,10,10,2,1,10,2,blue,black,blue,blue,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den blauen Aufkleber?,Welche Frage passt besser?
3,65,35,fbrcf,br,cf,BR-B,NA,BR-AE,9,9,2,3,10,2,NA,NA,NA,NA,NA,NA,triangle,star,triangle,triangle,star,star,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
3,66,35,fbrdc,br,dc,NA,BR-EA,BR-EA,NA,NA,NA,NA,NA,NA,black,black,blue,blue,black,blue,star,triangle,star,star,triangle,triangle,Aufkleber,Brauchst du den schwarzen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
3,67,35,fbrdf,br,df,BR-A,BR-AF,NA,9,9,3,2,9,3,blue,green,blue,blue,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den blauen Aufkleber?,Welche Frage passt besser?
3,68,35,fbrcf,br,cf,BR-B,NA,BR-AF,10,10,1,3,10,2,NA,NA,NA,NA,NA,NA,triangle,heart,triangle,triangle,heart,heart,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
3,69,35,fbrdc,br,dc,NA,BR-FA,BR-FA,NA,NA,NA,NA,NA,NA,green,green,blue,blue,green,blue,heart,triangle,heart,heart,triangle,triangle,Aufkleber,Brauchst du den grünen Aufkleber?,Brauchst du den herzförmigen Aufkleber?,Welche Frage passt besser?
3,70,35,fbrdf,br,df,BR-A,BR-BC,NA,9,10,3,3,9,1,orange,brown,orange,orange,brown,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den orangen Aufkleber?,Welche Frage passt besser?
3,71,35,fbrcf,br,cf,BR-B,NA,BR-BC,10,10,1,3,9,2,NA,NA,NA,NA,NA,NA,diamond,circle,diamond,diamond,circle,circle,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den diamantförmigen Aufkleber?,Welche Frage passt besser?
3,72,35,fbrdc,br,dc,NA,BR-CB,BR-CB,NA,NA,NA,NA,NA,NA,brown,brown,orange,orange,brown,orange,circle,diamond,circle,circle,diamond,diamond,Aufkleber,Brauchst du den braunen Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
3,73,36,fbrdf,br,df,BR-A,BR-BD,NA,9,9,3,1,10,3,orange,grey,orange,orange,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den orangen Aufkleber?,Welche Frage passt besser?
3,74,36,fbrcf,br,cf,BR-B,NA,BR-BD,9,9,1,2,10,2,NA,NA,NA,NA,NA,NA,diamond,quadrat,diamond,diamond,quadrat,quadrat,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den diamantförmigen Aufkleber?,Welche Frage passt besser?
3,75,36,fbrdc,br,dc,NA,BR-DB,BR-DB,NA,NA,NA,NA,NA,NA,grey,grey,orange,orange,grey,orange,quadrat,diamond,quadrat,quadrat,diamond,diamond,Aufkleber,Brauchst du den grauen Aufkleber?,Brauchst du den quadratischen Aufkleber?,Welche Frage passt besser?
3,76,36,fbrdf,br,df,BR-A,BR-BE,NA,10,10,1,2,9,2,orange,black,orange,orange,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den orangen Aufkleber?,Welche Frage passt besser?
3,77,36,fbrcf,br,cf,BR-B,NA,BR-BE,9,9,3,3,9,1,NA,NA,NA,NA,NA,NA,diamond,star,diamond,diamond,star,star,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den diamantförmigen Aufkleber?,Welche Frage passt besser?
3,78,36,fbrdc,br,dc,NA,BR-EB,BR-EB,NA,NA,NA,NA,NA,NA,black,black,orange,orange,black,orange,star,diamond,star,star,diamond,diamond,Aufkleber,Brauchst du den schwarzen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
3,79,36,fbrdf,br,df,BR-A,BR-BF,NA,10,9,3,3,9,2,orange,green,orange,orange,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den orangen Aufkleber?,Welche Frage passt besser?
3,80,36,fbrcf,br,cf,BR-B,NA,BR-BF,9,9,3,3,10,1,NA,NA,NA,NA,NA,NA,diamond,heart,diamond,diamond,heart,heart,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den diamantförmigen Aufkleber?,Welche Frage passt besser?
3,81,36,fbrdc,br,dc,NA,BR-FB,BR-FB,NA,NA,NA,NA,NA,NA,green,green,orange,orange,green,orange,heart,diamond,heart,heart,diamond,diamond,Aufkleber,Brauchst du den grünen Aufkleber?,Brauchst du den herzförmigen Aufkleber?,Welche Frage passt besser?
3,82,37,fbrdf,br,df,BR-A,BR-CD,NA,10,10,2,3,10,3,brown,grey,brown,brown,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den braunen Aufkleber?,Welche Frage passt besser?
3,83,37,fbrcf,br,cf,BR-B,NA,BR-CD,10,9,1,3,9,2,NA,NA,NA,NA,NA,NA,circle,quadrat,circle,circle,quadrat,quadrat,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
3,84,37,fbrdc,br,dc,NA,BR-DC,BR-DC,NA,NA,NA,NA,NA,NA,grey,grey,brown,brown,grey,brown,quadrat,circle,quadrat,quadrat,circle,circle,Aufkleber,Brauchst du den grauen Aufkleber?,Brauchst du den quadratischen Aufkleber?,Welche Frage passt besser?
3,85,37,fbrdf,br,df,BR-A,BR-CE,NA,10,10,2,2,9,3,brown,black,brown,brown,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den braunen Aufkleber?,Welche Frage passt besser?
3,86,37,fbrcf,br,cf,BR-B,NA,BR-CE,9,9,3,3,10,2,NA,NA,NA,NA,NA,NA,circle,star,circle,circle,star,star,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
3,87,37,fbrdc,br,dc,NA,BR-EC,BR-EC,NA,NA,NA,NA,NA,NA,black,black,brown,brown,black,brown,star,circle,star,star,circle,circle,Aufkleber,Brauchst du den schwarzen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
3,88,37,fbrdf,br,df,BR-A,BR-CF,NA,9,10,1,2,10,3,brown,green,brown,brown,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den braunen Aufkleber?,Welche Frage passt besser?
3,89,37,fbrcf,br,cf,BR-B,NA,BR-CF,9,9,1,1,10,2,NA,NA,NA,NA,NA,NA,circle,heart,circle,circle,heart,heart,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
3,90,37,fbrdc,br,dc,NA,BR-FC,BR-FC,NA,NA,NA,NA,NA,NA,green,green,brown,brown,green,brown,heart,circle,heart,heart,circle,circle,Aufkleber,Brauchst du den grünen Aufkleber?,Brauchst du den herzförmigen Aufkleber?,Welche Frage passt besser?
3,91,38,fbrdf,br,df,BR-A,BR-DE,NA,9,9,2,2,10,3,grey,black,grey,grey,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den grauen Aufkleber?,Welche Frage passt besser?
3,92,38,fbrcf,br,cf,BR-B,NA,BR-DE,9,10,1,2,9,1,NA,NA,NA,NA,NA,NA,quadrat,star,quadrat,quadrat,star,star,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den quadratischen Aufkleber?,Welche Frage passt besser?
3,93,38,fbrdc,br,dc,NA,BR-ED,BR-ED,NA,NA,NA,NA,NA,NA,black,black,grey,grey,black,grey,star,quadrat,star,star,quadrat,quadrat,Aufkleber,Brauchst du den schwarzen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
3,94,38,fbrdf,br,df,BR-A,BR-DF,NA,10,9,1,3,9,3,grey,green,grey,grey,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den grauen Aufkleber?,Welche Frage passt besser?
3,95,38,fbrcf,br,cf,BR-B,NA,BR-DF,10,9,3,3,9,3,NA,NA,NA,NA,NA,NA,quadrat,heart,quadrat,quadrat,heart,heart,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den quadratischen Aufkleber?,Welche Frage passt besser?
3,96,38,fbrdc,br,dc,NA,BR-FD,BR-FD,NA,NA,NA,NA,NA,NA,green,green,grey,grey,green,grey,heart,quadrat,heart,heart,quadrat,quadrat,Aufkleber,Brauchst du den grünen Aufkleber?,Brauchst du den herzförmigen Aufkleber?,Welche Frage passt besser?
3,97,38,fbrdf,br,df,BR-A,BR-EF,NA,10,10,3,1,10,1,black,green,black,black,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den schwarzen Aufkleber?,Welche Frage passt besser?
3,98,38,fbrcf,br,cf,BR-B,NA,BR-EF,10,10,2,2,10,3,NA,NA,NA,NA,NA,NA,star,heart,star,star,heart,heart,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
3,99,38,fbrdc,br,dc,NA,BR-FE,BR-FE,NA,NA,NA,NA,NA,NA,black,black,green,green,black,green,star,heart,star,star,heart,heart,Aufkleber,Brauchst du den schwarzen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
